"ID","Type","System","Difficulty","File","Line","Content","Status","AssignedDate","CompletedDate","Notes"
"ISSUE-1","BUG","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","522","LOG_DEBUG('achievement', 'AchievementMgr::ResetAchievementCriteria({}, {}, {})', condition, value, evenIfCriteriaComplete);","COMPLETED","","2025-12-03","Other system reviewed and resolved"
"ISSUE-2","BUG","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","711","LOG_DEBUG('achievement', 'AchievementMgr::SendAchievementEarned({})', achievement->ID);","COMPLETED","","2025-12-03","Other system reviewed and resolved"
"ISSUE-3","BUG","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","825","LOG_DEBUG('achievement', 'UpdateAchievementCriteria: Wrong criteria type {}', type);","COMPLETED","","2025-12-03","Other system reviewed and resolved"
"ISSUE-4","BUG","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","829","LOG_DEBUG('achievement', 'AchievementMgr::UpdateAchievementCriteria({}, {}, {})', type, miscValue1, miscValue2);","COMPLETED","","2025-12-03","Other system reviewed and resolved"
"ISSUE-5","FIXME","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","1173","//FIXME: work only for instances where max == min for players","COMPLETED","","2025-12-02",""
"ISSUE-6","FIXME","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","1797","// FIXME: not triggered in code as result, need to implement","COMPLETED","","2025-12-02",""
"ISSUE-7","BUG","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","2106","LOG_DEBUG('achievement', 'AchievementMgr::SetCriteriaProgress({}, {}) for {}', entry->ID, changeValue, _player->GetGUID().ToString());","COMPLETED","","2025-12-03","Other system reviewed and resolved"
"ISSUE-8","BUG","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","2283","LOG_DEBUG('achievement', 'AchievementMgr::CompletedAchievement({})', achievement->ID);","COMPLETED","","2025-12-03","Other system reviewed and resolved"
"ISSUE-9","TODO","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","2416","*data << uint32(0); /// @todo: This should be 1 if it is a failed timed criteria","COMPLETED","","2025-12-02",""
"ISSUE-10","BUG","Other","MEDIUM","src\server\game\Achievements\AchievementMgr.cpp","2625","LOG_DEBUG('server.loading', 'Achievement {} referenced by criteria {} doesn't exist, criteria not loaded.', criteria->referredAchievement, criteria->ID);","COMPLETED","","2025-12-03","Other system reviewed and resolved"
